CellName,goodcells,signicells,goodLLHcells,spatialcells,LLHi_vis,LLHi_pos,LLHrel,iPos_pval,posKernel_maxabs,overallResp_pval,LLHrel_omit,goodOmitcells
M26004_20260318_cell#160,1,1,1,1,0.0850516384694709,0.0908459542066223,1.06812703248781,0,86.044487116375,0,0.998665425641777,0
M26004_20260318_cell#161,0,0,0,0,0.0317122805354885,0.028774213094573,0.907352376073125,1,0,1,0.990026639788031,0
M26004_20260318_cell#162,1,1,1,1,0.0535181361590894,0.0580377140455631,1.08444946350595,0,43.6273338975127,0,0.974444600731898,0
M26004_20260318_cell#163,1,1,1,1,0.0124031351172682,0.0165246837507525,1.33229893849548,0,23.1834684413912,0,0.934853584910661,0
M26004_20260318_cell#164,1,1,1,1,0.0275142165598226,0.0409026929513147,1.48660213029807,0,90.0026017041775,0,1.01441026940126,0
M26004_20260318_cell#165,1,1,1,1,0.0580230200711119,0.0700998397552528,1.20813841936079,0,76.5420087298194,0,0.957746119196672,0
M26004_20260318_cell#166,1,1,1,1,0.00497549428723088,0.00900983086629637,1.81084136493116,0,24.5461693665944,0,0.958894660265145,0
M26004_20260318_cell#167,1,1,1,1,0.0273660251119031,0.0306438385322977,1.11977674532532,0,33.5777858443082,0,1.0040217310727,0
M26004_20260318_cell#168,1,1,1,1,0.0682705089487868,0.0715437704280378,1.04794546766462,0,28.6279229050929,0,0.980141073615691,0
M26004_20260318_cell#169,1,1,1,1,0.0213272514521676,0.0269128076771863,1.2618976119612,0,85.1157369002612,0,0.95986862764034,0
M26004_20260318_cell#170,1,1,1,1,0.0105132991356733,0.0158025824454371,1.50310404388823,0,46.3257796049259,0,0.960557317373045,0
M26004_20260318_cell#171,1,1,1,1,0.0149175093205671,0.026328147094457,1.76491574623371,0,40.5669663939199,0,1.02299868838059,1
M26004_20260318_cell#172,1,1,1,1,0.0638271351195137,0.0804395950699148,1.26027268683288,0,62.267305460079,0,0.983506161626401,0
M26004_20260318_cell#173,1,1,1,1,0.0941400214707833,0.103164837015962,1.09586587515257,0,49.2053795546903,0,1.14789441238623,1
M26004_20260318_cell#174,1,1,1,1,0.0396090036982451,0.0437376300546635,1.10423454192061,0,25.909272622295,0,0.970813770854886,0
M26004_20260318_cell#175,0,0,0,0,0.0126156165248352,0.0126353141086653,1.00156136513751,1,0,1,0.94808526005442,0
M26004_20260318_cell#176,1,1,1,1,0.0464187627502688,0.0483959816074809,1.04259525114552,0,27.5952748882443,0,0.962645507955611,0
M26004_20260318_cell#177,1,0,0,0,0.0375333937889365,0.0370487006983397,0.987086350535676,1,0,0,0.984813843314555,0
M26004_20260318_cell#178,1,1,1,1,0.0326978273305046,0.0395160502359846,1.20852220046801,0,54.3968848237841,0,0.992370568391752,0
M26004_20260318_cell#179,1,1,1,1,0.0510926591331234,0.0643774727793637,1.26001413650494,0,54.6375554753275,0,0.993368739087992,0
M26004_20260318_cell#180,1,1,1,1,0.0235014267751991,0.0246235745527627,1.04774807028941,0.000661311234487538,28.7475700739962,0,0.979906399637204,0
M26004_20260318_cell#181,1,0,0,0,0.0180236290372611,0.0173262020843945,0.961304854231923,1,0,0,0.950123174882637,0
M26004_20260318_cell#182,1,0,0,0,0.0596361985902884,0.0562751301291415,0.943640464338815,1,0,0,0.990351916619481,0
M26004_20260318_cell#183,1,1,1,1,0.102835923221033,0.108445409455052,1.05454792506664,0,29.7650797133069,0,0.987923488383573,0
M26004_20260318_cell#184,1,1,1,1,0.111732902267197,0.113419215653377,1.01509236180178,6.86561918428197e-12,27.3171928045291,0,0.991239346772653,0
M26004_20260318_cell#185,1,1,1,1,0.0517438295634393,0.070281318594039,1.3582550651353,0,37.5106787172919,0,0.979552096525973,0
M26004_20260318_cell#186,1,1,1,1,0.0494140482838917,0.0614645286098708,1.24386749809987,0,93.2145615052505,0,1.01053961841812,0
M26004_20260318_cell#187,1,1,1,1,0.0736635172221706,0.0852559772748438,1.15737043912403,0,59.6205379663529,0,0.99769290063476,0
M26004_20260318_cell#188,1,1,1,1,0.100551322418376,0.103687788209298,1.03119268564039,0,51.289386495792,0,0.996832311404937,0
M26004_20260318_cell#189,1,0,1,0,0.0350246925231917,0.0369013666857963,1.05358146003314,0.64351708704376,0,0,0.983653881954406,0
M26004_20260318_cell#190,1,1,1,1,0.0295244486202466,0.0391151494807426,1.32483928773251,0,47.3593107981453,0,0.989345433094267,0
M26004_20260318_cell#191,1,1,1,1,0.0813605682300018,0.0843168491878353,1.03633554954381,0,56.7766726414462,0,0.998202203669027,0
M26004_20260318_cell#192,1,0,0,0,0.0478202883841055,0.0482854725184612,1.00972775677594,0.999015384961152,0,0,0.96974704979937,0
M26004_20260318_cell#193,1,1,1,1,0.00966456509208271,0.0114151547091237,1.18113485711583,2.02811755167787e-08,26.701065241638,0,0.856924077292334,0
M26004_20260318_cell#194,1,1,1,1,0.015073876524174,0.0169416489231443,1.12390790092879,2.12036892899281e-06,35.2641019822715,0,0.954853160599394,0
M26004_20260318_cell#195,1,1,1,1,0.0182446406393829,0.0260559124381314,1.42814062239664,0,37.7018531403499,0.0087809568675441,0.970015529014455,0
M26004_20260318_cell#196,1,1,1,1,0.0280983235050024,0.0388834595763533,1.38383557187783,0,80.2863142901862,0,0.976650108091084,0
M26004_20260318_cell#197,1,1,1,1,0.0382310487972123,0.0472152704542306,1.23499804320496,0,52.7819748528165,0,0.940075528099353,0
M26004_20260318_cell#198,1,1,1,1,0.0293546974550384,0.0316646284273839,1.07869033485641,0,23.8949372650779,0,0.994769570414138,0
